annee,mois,consommation_totale_kwh,consommation_moyenne_kwh,nb_releves,nb_pdl,temp_moyenne_c,degres_jour_chauffage,periode
2024,1,626755.02,28.882719815668203,21700,700,3.425958986175115,13.574041013824885,2024-01-01
2024,2,573341.275,28.243412561576356,20300,700,4.403022167487685,12.596977832512316,2024-02-01
2024,3,566391.855,26.101007142857142,21700,700,7.306348387096775,9.693651612903226,2024-03-01
2024,4,500094.545,23.814025952380952,21000,700,11.857220952380953,5.157233333333333,2024-04-01
2024,5,460200.22000000003,21.20738341013825,21700,700,16.56251059907834,1.2976728110599078,2024-05-01
2024,6,415729.25,19.79663095238095,21000,700,19.74024238095238,0.17031333333333332,2024-06-01
2024,7,442721.515,20.401913133640555,21700,700,20.996614285714287,0.08977050691244241,2024-07-01
2024,8,436961.19,20.136460368663595,21700,700,20.532463133640555,0.10782488479262675,2024-08-01
2024,9,434692.145,20.699625952380952,21000,700,17.343344285714284,0.984974761904762,2024-09-01
2024,10,502018.535,23.134494700460827,21700,700,13.019228110599078,4.039723041474654,2024-10-01
2024,11,530469.395,25.26044738095238,21000,700,8.635253333333333,8.364746666666667,2024-11-01
2024,12,596411.975,27.484422811059908,21700,700,5.250745161290323,11.749254838709676,2024-12-01
2025,1,628503.03,28.963273271889403,21700,700,3.49352534562212,13.50647465437788,2025-01-01
2025,2,552985.3099999999,28.213536224489793,19600,700,4.61424693877551,12.38575306122449,2025-02-01
2025,3,565340.645,26.052564285714286,21700,700,7.6896387096774195,9.31036129032258,2025-03-01
2025,4,504639.755,24.030464523809524,21000,700,11.772657619047619,5.256142380952381,2025-04-01
2025,5,461107.84,21.24920921658986,21700,700,16.594411059907834,1.3141635944700463,2025-05-01
2025,6,427856.0,20.374095238095236,21000,700,19.985203333333335,0.21208333333333335,2025-06-01
2025,7,448094.195,20.64950207373272,21700,700,21.085029032258063,0.09053041474654379,2025-07-01
2025,8,436869.3,20.13222580645161,21700,700,20.383179723502305,0.12529354838709678,2025-08-01
2025,9,442043.695,21.049699761904762,21000,700,17.37479619047619,0.98658,2025-09-01
2025,10,504338.485,23.241404838709677,21700,700,13.003047465437788,4.048254838709678,2025-10-01
2025,11,527067.985,25.098475476190476,21000,700,8.629020952380953,8.370979047619047,2025-11-01
2025,12,602222.875,27.752206221198158,21700,700,5.317741474654378,11.682258525345622,2025-12-01
