date,consommation_totale_kwh,consommation_moyenne_kwh,temp_moyenne_c,temp_min_c,temp_max_c,degres_jour_chauffage,nb_releves
2024-01-01,21155.675,30.222392857142857,3.8891428571428572,0.6697857142857143,9.282471428571428,13.110857142857144,700
2024-01-02,21209.15,30.298785714285717,4.060385714285714,-0.9062571428571429,9.993514285714285,12.939614285714285,700
2024-01-03,20949.73,29.928185714285714,5.193214285714285,1.7066142857142856,10.241585714285714,11.806785714285715,700
2024-01-04,21531.63,30.75947142857143,2.804042857142857,-1.659914285714286,7.487828571428571,14.195957142857143,700
2024-01-05,21302.615,30.432307142857145,2.8304142857142858,-0.6122142857142857,8.862557142857144,14.169585714285713,700
2024-01-06,16711.885,23.874121428571428,4.574128571428571,-0.20524285714285717,9.930685714285715,12.42587142857143,700
2024-01-07,16287.325,23.267607142857145,4.951842857142857,0.6022142857142858,9.218714285714286,12.048157142857141,700
2024-01-08,21736.21,31.05172857142857,2.098814285714286,-1.8353428571428572,7.991471428571428,14.901185714285715,700
2024-01-09,21479.265,30.684664285714284,3.306628571428571,0.12225714285714283,8.4928,13.69337142857143,700
2024-01-10,21349.29,30.498985714285716,3.4827571428571433,0.06042857142857148,7.1063857142857145,13.517242857142858,700
2024-01-11,21407.125,30.58160714285714,3.352414285714286,-0.043557142857142815,8.3337,13.647585714285714,700
2024-01-12,21587.37,30.8391,2.610128571428571,-1.5804571428571428,7.476614285714286,14.389871428571428,700
2024-01-13,17038.365,24.34052142857143,2.9264571428571426,-1.545,8.507485714285714,14.073542857142856,700
2024-01-14,17120.185,24.457407142857146,2.4891,-0.9555857142857143,8.352214285714286,14.5109,700
2024-01-15,21376.94,30.538485714285713,3.407485714285714,-0.5760285714285713,8.599842857142857,13.592514285714286,700
2024-01-16,21189.22,30.27031428571429,3.7332428571428573,-0.3488285714285714,8.199385714285714,13.266757142857141,700
2024-01-17,21965.8,31.379714285714286,1.3454714285714287,-1.3024,6.372985714285715,15.654528571428571,700
