date,consommation_totale_kwh,consommation_moyenne_kwh,temp_moyenne_c,temp_min_c,temp_max_c,degres_jour_chauffage,nb_releves,part_lignes_imputees_pct,annee,mois,jour,jour_semaine,weekend,jour_annee,saison_automne,saison_ete,saison_hiver,saison_printemps,conso_lag_1,conso_lag_7,conso_rolling_7,conso_rolling_14,split
2024-01-15,21376.94,30.538485714285713,3.407485714285714,-0.5760285714285713,8.599842857142857,13.592514285714286,700,14.571428571428571,2024,1,15,0,0,15,False,False,True,False,17120.185,21736.21,20245.40142857143,20061.844285714287,train
2024-01-16,21189.22,30.27031428571429,3.7332428571428573,-0.3488285714285714,8.199385714285714,13.266757142857141,700,15.142857142857144,2024,1,16,1,0,16,False,False,True,False,21376.94,21479.265,20194.077142857142,20077.64892857143,train
2024-01-17,21965.8,31.379714285714286,1.3454714285714287,-1.3024,6.372985714285715,15.654528571428571,700,16.142857142857142,2024,1,17,2,0,17,False,False,True,False,21189.22,21349.29,20152.64214285714,20076.225357142856,train
2024-01-18,21103.435,30.14776428571429,4.807028571428572,0.6690857142857143,9.361642857142856,12.192971428571429,700,14.285714285714285,2024,1,18,3,0,18,False,False,True,False,21965.8,21407.125,20240.715,20148.801785714288,train
2024-01-19,20888.26,29.840371428571427,4.918628571428571,1.8709857142857145,10.353814285714286,12.08137142857143,700,13.714285714285715,2024,1,19,4,0,19,False,False,True,False,21103.435,21587.37,20197.330714285716,20118.21642857143,train
2024-01-20,17158.29,24.51184285714286,2.8862285714285716,-0.8180571428571428,8.005,14.113771428571427,700,10.285714285714285,2024,1,20,5,1,20,False,False,True,False,20888.26,17038.365,20097.457857142854,20088.619642857142,train
2024-01-21,16919.92,24.171314285714285,3.6525857142857143,-0.22667142857142852,8.396785714285715,13.347414285714287,700,10.571428571428571,2024,1,21,6,1,21,False,False,True,False,17158.29,17120.185,20114.59,20120.505714285715,train
2024-01-22,21583.82,30.834028571428572,2.5182714285714285,-0.5184142857142858,7.903042857142857,14.481728571428572,700,15.142857142857144,2024,1,22,0,0,22,False,False,True,False,16919.92,21376.94,20085.980714285713,20165.69107142857,train
2024-01-23,21480.51,30.686442857142854,3.2545999999999995,-1.5896142857142856,8.117214285714287,13.7454,700,15.0,2024,1,23,1,0,23,False,False,True,False,21583.82,21189.22,20115.535,20154.80607142857,train
2024-01-24,21208.065,30.297235714285712,4.0297285714285715,-0.3850857142857143,8.852057142857142,12.97027142857143,700,13.428571428571429,2024,1,24,2,0,24,False,False,True,False,21480.51,21965.8,20157.147857142852,20154.894999999997,train
2024-01-25,21609.83,30.871185714285716,2.6765142857142856,-1.5649142857142857,6.867328571428572,14.323485714285715,700,14.714285714285714,2024,1,25,3,0,25,False,False,True,False,21208.065,21103.435,20048.899999999998,20144.8075,train
2024-01-26,20953.235,29.933192857142856,4.9662999999999995,0.638457142857143,10.770328571428571,12.0337,700,14.285714285714285,2024,1,26,4,0,26,False,False,True,False,21609.83,20888.26,20121.242142857143,20159.286428571428,train
2024-01-27,17138.15,24.48307142857143,2.7397,-1.0179714285714285,7.993028571428571,14.260299999999999,700,11.0,2024,1,27,5,1,27,False,False,True,False,20953.235,17158.29,20130.524285714284,20113.991071428572,train
